model_key,model,direction,query_idx,video_id,query_genre,s_true,s_nearest_other,nearest_other_genre,delta,rank_first_relevant
pair,E1,V2A,0,JLPa7mQJeBs_190p0,Rock music,0.21308387457941871,0.48879069325403357,Electronic music,-0.2757068186746149,20.0
pair,E1,V2A,1,_hBt3U35L7s_30p0,Country,0.3347255708047344,0.3028090856631177,Blues,0.03191648514161671,3.0
pair,E1,V2A,2,-94MIYGKf0Q_30p0,Electronic music,0.23720095770096578,0.2273194665097117,Rock music,0.009881491191254088,2.0
pair,E1,V2A,3,ITU6Uq9kBQw_30p0,Blues,0.42197826494289126,0.3291243526994925,Jazz,0.09285391224339878,2.0
pair,E1,V2A,4,-TAbSb26Xpw_21p0,Electronic music,0.3042363752378454,0.44431469818254266,Hip hop music,-0.14007832294469724,37.0
pair,E1,V2A,5,_vxPW1h-DAc_30p0,Country,0.010895824244875625,0.4175186181540848,Classical music,-0.4066227939092092,13.0
pair,E1,V2A,6,CAETivwg7IY_190p0,Pop music,0.34063090554798636,0.21679533961196373,Reggae,0.12383556593602263,3.0
pair,E1,V2A,7,MBgMOJZPagI_30p0,Country,-0.030459463362776953,0.24140173317641778,Funk,-0.2718611965391947,19.0
pair,E1,V2A,8,-7_fwmRPyos_30p0,Funk,0.282619405073482,0.3401329753587917,Reggae,-0.057513570285309734,2.0
pair,E1,V2A,9,-dNy2cX7ZAI_30p0,Funk,0.2648912046241292,0.41984901727726964,Hip hop music,-0.15495781265314046,12.0
pair,E1,V2A,10,L4GsUlTCGMM_50p0,Blues,0.02723518097978181,0.20158528906579526,Reggae,-0.17435010808601345,20.0
pair,E1,V2A,11,BHcok3FLtJY_30p0,Classical music,0.5439699058824005,-0.19838303127331958,Jazz,0.74235293715572,1.0
pair,E1,V2A,12,yi1_cJIjSXA_10p0,Reggae,0.17946600462485335,0.2506063931796561,Hip hop music,-0.07114038855480276,39.0
pair,E1,V2A,13,QX1zKSUA09o_30p0,Blues,0.3440493130508462,0.29801516133781647,Jazz,0.046034151713029714,5.0
pair,E1,V2A,14,G0rP95TYGG8_30p0,Jazz,0.24011069820354708,0.4480318618228435,Country,-0.2079211636192964,7.0
pair,E1,V2A,15,R9O27nJsNO0_150p0,Hip hop music,0.17843289447380523,0.22532482336649287,Reggae,-0.046891928892687645,1.0
pair,E1,V2A,16,2eMwmhppbQo_240p0,Electronic music,0.226188565219887,0.18651093070316543,Hip hop music,0.03967763451672157,4.0
pair,E1,V2A,17,NWV6x8UVX7Y_0p0,Reggae,0.35546049760355736,0.38373493796487734,Hip hop music,-0.028274440361319986,1.0
pair,E1,V2A,18,2xdSzF1U1BU_100p0,Pop music,0.15413738169530977,0.2688442862695276,Reggae,-0.11470690457421784,16.0
pair,E1,V2A,19,fEvM2wbKQt4_90p0,Funk,0.2185432186085059,0.2694603669089737,Country,-0.050917148300467785,11.0
pair,E1,V2A,20,9iMXMZekJEI_110p0,Blues,0.2406475386979485,0.6089997132388436,Rock music,-0.3683521745408951,44.0
pair,E1,V2A,21,1Xya19tf_tc_220p0,Hip hop music,0.36349538557249217,0.29043740051345257,Reggae,0.0730579850590396,1.0
pair,E1,V2A,22,3nTo-oyhBSM_30p0,Classical music,-0.3436483436555469,0.39376649737522074,Hip hop music,-0.7374148410307677,186.0
pair,E1,V2A,23,7kdXbHwmn38_30p0,Jazz,-0.36402787749277443,0.402911103233735,Hip hop music,-0.7669389807265095,19.0
pair,E1,V2A,24,RJ5wgnyPY-c_130p0,Blues,-0.0168643218420602,0.13803802964053713,Pop music,-0.15490235148259734,6.0
pair,E1,V2A,25,-TPy8eOOgrE_50p0,Pop music,0.1622856766590314,0.2123351742872746,Blues,-0.050049497628243206,4.0
pair,E1,V2A,26,pywJU9_hw3o_250p0,Reggae,0.25358379945759524,0.2484048209727104,Funk,0.0051789784848848275,11.0
pair,E1,V2A,27,VtzmUIU5nL8_30p0,Funk,0.24851661828179245,0.37215366436521946,Rock music,-0.12363704608342702,5.0
pair,E1,V2A,28,3_lcCZfY_M0_570p0,Jazz,0.15095607998911403,0.20675474192804588,Reggae,-0.05579866193893185,12.0
pair,E1,V2A,29,RcTJTOFYU2M_410p0,Classical music,0.4423008574885613,0.03180180906063326,Jazz,0.41049904842792806,1.0
pair,E1,V2A,30,BRJFvqsoS-k_0p0,Funk,0.20498461885606228,0.2690485405110006,Blues,-0.0640639216549383,6.0
pair,E1,V2A,31,OXOUyW-oyF0_50p0,Country,0.5015455609485826,0.18852124573605183,Blues,0.31302431521253077,1.0
pair,E1,V2A,32,502D49vQH0I_310p0,Reggae,0.17033095238947815,0.1579835924179676,Country,0.012347359971510541,1.0
pair,E1,V2A,33,NqCphKgIqfc_80p0,Classical music,0.46640570435232936,0.020862317570482153,Country,0.44554338678184724,1.0
pair,E1,V2A,34,1-2OTSOGFaY_50p0,Rock music,0.10279252234593736,0.19203366352606202,Blues,-0.08924114118012466,16.0
pair,E1,V2A,35,28D_sfTKgTI_30p0,Pop music,0.153493610210124,0.19923068246073194,Hip hop music,-0.04573707225060794,2.0
pair,E1,V2A,36,RYpxs6pt3hE_70p0,Hip hop music,0.45122784886372447,0.47912280753775927,Reggae,-0.027894958674034798,1.0
pair,E1,V2A,37,zvCzlHYasMk_0p0,Reggae,0.40119166228408487,0.311853519310462,Hip hop music,0.08933814297362286,1.0
pair,E1,V2A,38,8HHFKisF2Mg_110p0,Rock music,0.4287820768092345,0.24547869863437327,Electronic music,0.18330337817486125,1.0
pair,E1,V2A,39,HtsTabBwgO0_0p0,Hip hop music,0.24580807847633615,0.46391941124602687,Electronic music,-0.21811133276969072,7.0
pair,E1,V2A,40,Xz-PD779Gn8_170p0,Hip hop music,0.10619304743987801,0.19064737765808873,Country,-0.08445433021821072,14.0
pair,E1,V2A,41,0aVvjvzSWKY_30p0,Funk,-0.011867094924042412,0.40621148068878016,Country,-0.4180785756128226,12.0
pair,E1,V2A,42,JjA5IlbRosA_30p0,Hip hop music,0.27382038848870743,0.271050661281263,Reggae,0.00276972720744445,2.0
pair,E1,V2A,43,Vv0A2fYQaAA_180p0,Hip hop music,0.11119650403328521,0.2184488751834458,Rock music,-0.10725237115016059,18.0
pair,E1,V2A,44,6xaQ8SNFNzU_120p0,Classical music,0.4908721399855388,0.006736308648652231,Jazz,0.4841358313368866,1.0
pair,E1,V2A,45,1PsHPUsJm_Y_30p0,Electronic music,0.4714231812872665,0.343573216890524,Hip hop music,0.1278499643967425,1.0
pair,E1,V2A,46,SHXw0UMEbRE_30p0,Country,0.2331497477562505,0.21937435245345063,Classical music,0.013775395302799864,28.0
pair,E1,V2A,47,2YfCDvM-Mn4_60p0,Classical music,0.4777945808883326,0.2377822082368488,Country,0.24001237265148379,1.0
